team,confederation
Mexico,CONCACAF
Canada,CONCACAF
United States,CONCACAF
Panama,CONCACAF
Haiti,CONCACAF
Curaçao,CONCACAF
Brazil,CONMEBOL
Argentina,CONMEBOL
Uruguay,CONMEBOL
Paraguay,CONMEBOL
Ecuador,CONMEBOL
Colombia,CONMEBOL
Czech Republic,UEFA
Switzerland,UEFA
Bosnia and Herzegovina,UEFA
Scotland,UEFA
Turkey,UEFA
Germany,UEFA
Netherlands,UEFA
Sweden,UEFA
Belgium,UEFA
Spain,UEFA
France,UEFA
Norway,UEFA
Austria,UEFA
Portugal,UEFA
England,UEFA
Croatia,UEFA
South Africa,CAF
Morocco,CAF
Ivory Coast,CAF
Tunisia,CAF
Egypt,CAF
Cape Verde,CAF
Senegal,CAF
Algeria,CAF
DR Congo,CAF
Ghana,CAF
South Korea,AFC
Qatar,AFC
Australia,AFC
Japan,AFC
Iran,AFC
Saudi Arabia,AFC
Iraq,AFC
Jordan,AFC
Uzbekistan,AFC
New Zealand,OFC
