group,team,reached
A,Qatar,Group
A,Ecuador,Group
A,Senegal,R16
A,Netherlands,QF
B,England,QF
B,Iran,Group
B,United States,R16
B,Wales,Group
C,Argentina,W
C,Saudi Arabia,Group
C,Mexico,Group
C,Poland,R16
D,France,F
D,Australia,R16
D,Denmark,Group
D,Tunisia,Group
E,Spain,R16
E,Costa Rica,Group
E,Germany,Group
E,Japan,R16
F,Belgium,Group
F,Canada,Group
F,Morocco,SF
F,Croatia,SF
G,Brazil,QF
G,Serbia,Group
G,Switzerland,R16
G,Cameroon,Group
H,Portugal,QF
H,Ghana,Group
H,Uruguay,Group
H,South Korea,R16
